PI,ERROR,NTOT,WORKERS,DURATION_NS
3.141617,7.813365e-06,10000000,1,388653500
3.141294,9.519171e-05,10000000,1,393209700
3.140400,3.795061e-04,10000000,1,395308900
3.142704,3.538799e-04,10000000,1,406573500
3.141396,6.246946e-05,10000000,1,392035900
3.141214,1.206565e-04,5000000,2,142653700
3.141608,4.884914e-06,5000000,2,141356600
3.141702,3.493337e-05,5000000,2,153602100
3.142228,2.022370e-04,5000000,2,130809400
3.141105,1.552886e-04,5000000,2,133736200
3.140525,3.399084e-04,2500000,4,77645900
3.142067,1.510528e-04,2500000,4,41653400
3.140091,4.779275e-04,2500000,4,29359400
3.142763,3.725965e-04,2500000,4,29827300
3.141488,3.331227e-05,2500000,4,28805800

3.138772,8.977871e-04,1666667,6,70112900
3.142094,1.595108e-04,1666667,6,28390300
3.143690,6.675333e-04,1666667,6,14720400
3.140294,4.134469e-04,1666667,6,14290600
3.142883,4.108482e-04,1666667,6,14989400

3.141686,2.984041e-05,1250000,8,62872600
3.138989,8.288323e-04,1250000,8,25765600
3.142813,3.883847e-04,1250000,8,12485700
3.140294,4.132470e-04,1250000,8,12660600
3.140816,2.472165e-04,1250000,8,9236700

3.144044,7.804335e-04,833333,12,68121000
3.144736,1.000449e-03,833333,12,10115400
3.138304,1.046921e-03,833333,12,9790800
3.139806,5.686917e-04,833333,12,12177500
3.141774,5.774241e-05,833333,12,8468800
3.141520,2.323566e-05,833333,12,126128900
3.140632,3.058950e-04,833333,12,7856100
3.138784,8.941319e-04,833333,12,7749000
3.143492,6.047263e-04,833333,12,10172000
3.143588,6.352841e-04,833333,12,7992600
