PI,ERROR,NTOT,WORKERS,DURATION_NS
3.141372,7.023622e-05,3000000,1,141879200
3.139756,5.846250e-04,3000000,1,115797400
3.141388,6.514326e-05,3000000,1,114969300
3.142044,1.436680e-04,3000000,1,113750400
3.141671,2.483233e-05,3000000,1,116139300
3.141186,1.294419e-04,6000000,2,116608200
3.141637,1.400980e-05,6000000,2,119719000
3.141743,4.775065e-05,6000000,2,116327000
3.141761,5.369243e-05,6000000,2,113098800
3.142429,2.661112e-04,6000000,2,114410800
3.141126,1.484343e-04,12000000,4,124431000
3.140946,2.057301e-04,12000000,4,124450500
3.142210,1.965075e-04,12000000,4,123713500
3.141722,4.117224e-05,12000000,4,125362200
3.141400,6.132354e-05,12000000,4,121916300
3.141543,1.569913e-05,18000000,6,130806400
3.140651,2.997023e-04,18000000,6,140045700
3.141813,7.017381e-05,18000000,6,128631700
3.141583,3.037465e-06,18000000,6,129185400
3.141233,1.145167e-04,18000000,6,128677200
3.141637,1.411590e-05,24000000,8,142949300
3.141283,9.867190e-05,24000000,8,140584900
3.141613,6.423412e-06,24000000,8,138621200
3.142055,1.472225e-04,24000000,8,140551000
3.141972,1.205906e-04,24000000,8,146950800
3.142101,1.619532e-04,36000000,12,217912600
3.141351,7.692073e-05,36000000,12,222974600
3.142072,1.525100e-04,36000000,12,260529300
3.141683,2.879352e-05,36000000,12,233665300
3.141445,4.714107e-05,36000000,12,227653300
