PI,ERROR,NTOT,WORKERS,DURATION_NS
3.141881,9.178351e-05,12000000,1,444134700
3.141845,8.032436e-05,12000000,1,436113500
3.141782,6.016473e-05,12000000,1,434634800
3.141759,5.284360e-05,12000000,1,444423000
3.141511,2.588504e-05,12000000,1,435894000
3.141456,4.339209e-05,12000000,2,269558900
3.141607,4.460501e-06,12000000,2,228572900
3.141954,1.150201e-04,12000000,2,220971200
3.141500,2.949255e-05,12000000,2,228506400
3.141591,5.263540e-07,12000000,2,221044000
3.143113,4.839413e-04,12000000,4,123798700
3.141324,8.562120e-05,12000000,4,128952200
3.140688,2.878541e-04,12000000,4,127970700
3.141365,7.246439e-05,12000000,4,129926400
3.140460,3.606409e-04,12000000,4,128305500
3.140832,2.422297e-04,12000000,6,87502400
3.142036,1.411215e-04,12000000,6,90140500
3.141402,6.058082e-05,12000000,6,87203400
3.141721,4.096003e-05,12000000,6,87750900
3.142353,2.419197e-04,12000000,6,86597100
3.141961,1.172483e-04,12000000,8,82451900
3.141291,9.612542e-05,12000000,8,76233000
3.141384,6.631040e-05,12000000,8,76111100
3.141375,6.917519e-05,12000000,8,75273500
3.141773,5.729994e-05,12000000,8,73897800
3.142538,3.010192e-04,12000000,12,85977400
3.141495,3.108410e-05,12000000,12,83741000
3.141616,7.325290e-06,12000000,12,90012600
3.141492,3.214514e-05,12000000,12,87156100
3.141991,1.269037e-04,12000000,12,84902000
