PI,ERROR,NTOT,WORKERS,DURATION_NS
3.142403,2.577821e-04,16000000,1,567926200
3.142264,2.135370e-04,16000000,1,567474900
3.141374,6.959960e-05,16000000,1,580867600
3.142062,1.493976e-04,16000000,1,573455800
3.141343,7.962636e-05,16000000,1,566468200
3.141540,1.676016e-05,16000000,2,296738200
3.141702,3.464689e-05,16000000,2,290767800
3.141891,9.504619e-05,16000000,2,299627400
3.142232,2.035899e-04,16000000,2,297498100
3.141140,1.440841e-04,16000000,2,296917200
3.141590,9.242413e-07,16000000,4,175675700
3.141346,7.859185e-05,16000000,4,169296800
3.141243,1.112186e-04,16000000,4,184009700
3.141286,9.777002e-05,16000000,4,178233600
3.141260,1.059665e-04,16000000,4,178662600
3.141705,3.584055e-05,16000000,5,145175800
3.141435,5.010312e-05,16000000,5,152228700
3.141496,3.068622e-05,16000000,5,158229900
3.142344,2.391610e-04,16000000,5,145758000
3.141492,3.219819e-05,16000000,5,150190100
